Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Round
S,73,207,4.52,,,,,,2
DE,75,259,4.59,35.5,26.0,110.0,7.27,4.38,4
DT,75,325,5.02,32.5,32.0,107.0,7.83,4.44,3
C,77,311,,32.0,21.0,96.0,7.57,4.45,4
RB,72,210,4.67,33.5,15.0,116.0,7.22,4.13,8
QB,72,225,4.71,33.0,,113.0,6.97,4.08,8
K,74,210,5.0,,,,,,6
WR,70,186,4.47,36.5,,122.0,6.78,4.13,8
CB,71,195,4.53,40.5,15.0,124.0,7.18,4.28,8
RB,70,209,4.52,32.0,16.0,109.0,7.23,4.38,8
K,72,217,,,,,,,8
S,74,209,4.56,42.0,12.0,123.0,6.94,4.12,4
DE,74,256,4.83,,18.0,,,,6
WR,71,212,4.57,33.0,,117.0,7.25,4.39,8
QB,74,214,4.7,33.5,,116.0,7.53,4.53,8
OG,76,314,5.22,36.0,22.0,109.0,8.27,4.76,8
DT,76,289,,34.5,27.0,114.0,7.97,4.53,8
WR,72,189,4.41,36.5,,126.0,6.6,3.94,3
QB,74,223,4.71,34.5,,110.0,7.38,,1
CB,72,196,4.44,40.5,15.0,126.0,6.48,3.82,1
CB,72,201,4.48,,15.0,,,,1
OT,79,320,5.3,29.0,19.0,97.0,7.72,4.5,2
DE,76,278,4.81,32.0,26.0,112.0,7.65,4.36,2
CB,73,193,4.27,36.5,,129.0,6.63,3.9,2
WR,75,206,4.56,34.5,,,,,7
ILB,74,241,4.75,34.5,25.0,112.0,7.22,3.94,2
WR,71,192,4.62,,,,,,8
TE,75,249,4.75,32.5,24.0,114.0,7.21,4.12,6
S,72,214,4.44,46.0,17.0,133.0,,,5
ILB,74,248,4.6,36.5,33.0,120.0,7.16,4.11,5
S,76,228,4.65,,,,,,8
WR,69,179,4.43,,,,,,8
RB,73,246,4.53,38.5,,124.0,7.44,4.08,2
DT,74,301,4.87,34.0,25.0,116.0,7.54,4.31,7
OT,77,318,5.39,28.0,26.0,108.0,7.68,4.43,6
TE,76,258,4.88,,28.0,,,,3
QB,76,217,4.71,32.0,,113.0,6.82,3.96,1
OG,77,316,5.34,28.5,21.0,93.0,7.83,4.83,3
DE,76,307,5.05,,,,,,1
C,75,309,5.21,32.0,26.0,105.0,8.06,4.59,1
RB,66,187,4.47,33.0,23.0,105.0,6.96,3.96,4
CB,68,172,4.37,43.0,13.0,137.0,6.99,3.9,3
OG,75,312,5.7,31.0,,99.0,8.16,4.65,8
OT,78,314,5.25,,24.0,,,,4
WR,73,221,4.62,,,,,,8
DE,76,270,5.0,34.0,23.0,113.0,7.35,4.24,6
ILB,72,238,4.83,35.0,23.0,113.0,7.31,4.16,2
OG,74,343,5.42,24.5,27.0,89.0,8.17,4.75,4
OT,80,330,5.4,28.0,,96.0,7.89,4.78,2
DE,76,269,4.9,30.0,27.0,108.0,8.24,4.34,8
WR,73,188,4.38,,,,,,4
ILB,72,233,4.62,34.0,23.0,114.0,7.47,,2
DE,77,268,4.71,,,,,,3
FB,74,249,5.0,25.5,19.0,100.0,7.57,4.67,8
S,70,205,4.45,38.0,19.0,118.0,7.12,4.21,4
DE,75,280,5.02,29.5,18.0,105.0,7.89,4.53,7
DT,77,310,5.0,32.5,,103.0,7.78,4.64,7
OLB,75,236,4.65,45.5,20.0,130.0,7.12,4.11,8
OLB,74,241,4.73,35.5,10.0,112.0,7.45,3.94,5
QB,78,233,4.86,,,,,,3
OLB,76,251,4.56,38.5,27.0,122.0,6.83,4.07,1
WR,72,219,4.71,31.5,,,,,7
CB,70,188,4.29,41.5,18.0,129.0,,3.91,1
OT,76,316,5.46,27.5,,100.0,,,8
CB,72,199,4.5,,9.0,,,,2
S,70,216,4.56,36.5,23.0,120.0,7.46,3.89,8
OLB,75,244,4.61,40.5,19.0,130.0,7.83,4.22,5
WR,72,187,4.46,37.0,,124.0,7.21,4.22,8
QB,74,223,4.9,31.0,,108.0,7.28,4.19,8
FB,74,244,4.64,,,,,,4
WR,73,207,4.46,,,,,,1
OT,77,298,5.31,26.5,23.0,102.0,7.43,4.5,8
C,75,299,5.46,,,,,,8
CB,71,187,4.58,36.0,8.0,117.0,,,8
CB,70,168,4.5,35.0,13.0,121.0,7.24,4.22,8
RB,71,217,4.43,35.5,19.0,118.0,6.94,4.15,1
CB,69,176,4.3,39.0,16.0,124.0,6.97,3.96,2
WR,77,229,4.56,36.5,,,,,1
WR,73,203,4.32,,,,6.99,,1
OT,78,327,5.18,,27.0,,,,4
CB,72,185,4.36,39.5,14.0,125.0,,,3
CB,72,193,4.5,38.0,18.0,118.0,6.81,4.07,8
OLB,73,236,4.71,37.0,22.0,110.0,,4.38,7
OG,76,312,5.08,35.0,43.0,115.0,7.46,4.37,5
DE,77,277,5.0,27.0,22.0,109.0,7.91,4.76,8
DT,75,306,5.07,30.5,15.0,103.0,7.49,4.54,7
S,70,214,4.7,38.5,,122.0,,,8
RB,71,214,4.4,38.5,18.0,125.0,7.09,4.47,1
DE,76,274,4.86,32.0,22.0,112.0,7.37,4.41,4
S,73,209,4.39,39.5,17.0,131.0,6.75,3.81,1
OLB,73,223,4.5,40.0,30.0,132.0,6.9,4.13,3
DT,76,306,5.19,28.5,27.0,100.0,7.69,4.55,8
WR,70,192,4.57,34.0,,116.0,6.88,4.2,7
OLB,75,229,4.59,41.0,,121.0,6.67,4.07,3
DE,76,254,4.62,42.0,20.0,127.0,6.95,4.22,5
S,69,193,4.43,36.5,7.0,124.0,6.99,4.27,7
WR,74,201,4.35,39.0,,120.0,7.04,4.16,7
WR,74,215,4.47,40.5,21.0,123.0,7.09,4.14,8
WR,72,212,4.62,37.0,20.0,118.0,,,4
QB,73,220,4.76,34.0,,114.0,6.75,4.22,8
WR,75,224,4.5,35.0,,119.0,6.79,4.17,8
P,70,194,,,,,,,8
RB,72,221,4.6,31.5,19.0,112.0,7.16,4.21,8
DE,76,258,4.7,33.5,19.0,115.0,7.48,4.52,7
FB,72,260,4.91,29.5,22.0,110.0,7.46,4.5,8
S,71,203,4.39,36.5,19.0,127.0,6.99,4.11,6
TE,77,256,4.8,,,,,,8
WR,74,214,4.7,36.5,19.0,115.0,6.9,4.18,8
S,74,227,4.53,34.0,17.0,120.0,7.25,4.07,4
CB,72,198,4.47,41.0,,133.0,6.67,4.23,4
WR,69,173,4.49,,,,,,5
S,74,216,4.57,37.5,16.0,120.0,,,5
OT,77,316,5.41,31.5,23.0,98.0,8.36,5.07,6
WR,73,195,4.71,34.0,,120.0,6.93,4.03,8
DT,73,289,5.01,30.5,30.0,109.0,,4.75,8
ILB,73,231,4.9,32.0,18.0,109.0,7.15,4.41,8
S,72,198,4.61,36.5,7.0,125.0,6.97,4.36,8
DT,75,301,5.1,34.5,21.0,111.0,7.63,4.47,8
DE,76,253,4.9,33.0,16.0,117.0,7.11,4.3,8
S,72,212,4.38,38.0,18.0,124.0,6.91,4.16,2
DT,75,306,5.01,32.5,44.0,113.0,,,1
RB,71,201,4.37,,,,,,1
OT,79,310,5.29,,,,,,5
OT,77,293,5.3,28.0,16.0,106.0,7.9,4.55,3
TE,75,255,4.79,,,,,,3
RB,69,201,4.57,31.5,18.0,124.0,7.05,4.2,3
OLB,74,256,4.65,,,,,,1
WR,72,211,4.6,33.0,,116.0,6.89,4.21,8
C,75,303,4.83,31.5,27.0,106.0,7.31,4.5,2
OT,78,309,5.28,26.0,24.0,102.0,7.8,4.63,6
QB,74,224,4.89,,,,,,2
DT,76,304,4.95,34.0,35.0,105.0,7.43,4.35,4
OT,76,299,5.05,32.5,21.0,110.0,7.43,4.58,2
WR,77,224,4.5,37.0,16.0,123.0,6.94,4.43,7
OT,79,328,5.47,26.5,28.0,97.0,7.93,4.66,2
CB,74,208,4.47,38.0,18.0,132.0,,,1
QB,74,205,4.88,30.5,,104.0,7.34,4.25,3
QB,75,226,4.77,,23.0,,7.1,4.26,1
TE,75,253,4.65,34.5,23.0,114.0,6.87,4.1,4
RB,70,214,4.64,33.0,21.0,116.0,7.13,4.4,4
TE,75,254,4.38,42.0,33.0,128.0,7.0,4.17,1
TE,77,263,4.87,31.5,27.0,108.0,7.53,4.37,5
TE,75,256,4.74,35.0,24.0,109.0,7.03,4.2,8
C,77,305,5.42,26.0,24.0,98.0,8.03,4.67,8
S,72,198,4.7,31.0,17.0,117.0,6.91,4.09,8
WR,75,224,4.65,33.0,13.0,110.0,7.02,4.33,8
ILB,72,247,4.74,,,,,,8
ILB,73,246,4.59,35.5,23.0,110.0,7.25,4.39,5
S,72,209,4.65,37.0,15.0,121.0,6.66,4.17,6
DT,77,290,5.25,30.5,17.0,108.0,8.12,,8
DE,71,257,4.75,,30.0,,,,4
DT,75,306,5.01,34.0,31.0,110.0,7.62,4.35,3
DE,77,273,4.81,39.0,30.0,114.0,7.71,4.57,4
OLB,73,235,4.76,32.5,24.0,115.0,7.22,4.16,6
C,75,292,5.13,30.0,28.0,101.0,7.59,4.68,6
QB,72,260,5.12,27.5,,94.0,7.97,4.76,8
OT,76,316,5.25,27.0,20.0,95.0,7.97,4.8,4
TE,76,259,4.72,33.5,19.0,112.0,6.94,4.34,2
TE,75,259,4.95,29.5,19.0,108.0,7.27,4.46,8
OT,78,312,5.08,,,,,,1
OLB,73,234,4.78,37.0,23.0,116.0,7.31,4.28,5
RB,69,218,4.5,35.0,29.0,119.0,7.19,,7
RB,70,228,4.6,,,,,,8
DE,74,263,4.7,38.5,28.0,123.0,7.05,4.08,3
DT,76,300,4.88,33.0,31.0,111.0,7.6,4.45,6
CB,70,183,4.6,35.5,12.0,115.0,6.95,4.2,8
QB,73,217,4.59,34.0,,107.0,7.12,4.16,6
DT,73,295,5.14,31.0,33.0,108.0,7.62,4.86,8
WR,69,192,4.53,34.0,,118.0,,,4
OLB,74,242,4.76,33.5,16.0,117.0,7.0,4.22,1
S,72,199,4.51,35.5,17.0,125.0,6.84,4.1,2
QB,72,239,4.82,33.0,,110.0,7.62,4.69,8
WR,74,208,4.45,36.0,,124.0,,4.07,3
RB,69,202,4.67,35.0,,114.0,7.03,4.38,5
DE,75,275,4.87,,,,,,1
RB,68,208,4.4,33.0,18.0,113.0,7.38,,8
WR,75,205,4.48,34.5,,122.0,,,8
DE,73,253,4.8,32.0,24.0,115.0,7.37,4.26,5
S,72,198,4.5,,19.0,,,,2
S,72,209,4.7,40.5,15.0,119.0,7.02,4.12,8
FB,74,235,4.73,36.0,20.0,117.0,7.0,4.38,8
DT,75,301,5.27,,25.0,,,,4
RB,69,201,4.47,34.5,19.0,124.0,6.77,4.07,5
WR,73,208,4.59,32.0,,116.0,6.97,4.14,6
DE,78,284,4.82,35.5,28.0,113.0,7.67,4.49,3
ILB,75,242,4.69,39.0,,116.0,6.81,4.07,8
OLB,73,248,4.59,40.0,24.0,115.0,6.82,3.96,1
CB,70,183,4.51,37.0,16.0,116.0,,4.18,8
RB,69,204,4.62,32.5,,112.0,7.01,4.4,8
DE,74,270,4.75,,30.0,,,,8
TE,76,248,4.73,29.0,16.0,111.0,7.44,4.44,8
S,71,207,4.85,36.5,15.0,116.0,7.34,4.23,8
WR,71,190,4.41,38.0,16.0,124.0,,,2
CB,70,185,4.34,41.0,,129.0,6.63,4.01,1
WR,72,190,4.54,34.0,,116.0,6.97,4.1,8
ILB,72,236,4.76,31.0,,108.0,7.09,4.3,3
WR,71,188,4.35,,,,,,1
CB,72,192,4.62,41.5,21.0,127.0,,4.42,8
OLB,75,239,4.42,39.0,21.0,124.0,6.96,4.28,2
ILB,75,245,4.93,32.0,19.0,112.0,7.47,4.3,8
S,73,194,4.55,,11.0,,,,6
S,72,204,4.34,40.5,21.0,125.0,,,1
RB,73,227,4.62,30.5,18.0,106.0,7.07,4.22,7
CB,72,206,4.44,36.0,8.0,123.0,,4.11,8
K,73,209,,,,,,,8
OLB,74,244,4.65,41.0,22.0,,7.12,4.1,3
OLB,72,234,4.66,,20.0,,,,8
WR,73,213,4.32,38.5,,122.0,6.73,3.97,2
ILB,72,230,4.73,37.0,19.0,116.0,7.05,4.36,2
QB,74,226,4.69,31.5,22.0,107.0,7.4,4.38,2
DT,72,304,5.15,31.0,26.0,104.0,7.72,4.6,8
QB,76,232,4.84,32.5,,108.0,7.47,4.29,5
OG,76,355,5.48,24.5,27.0,95.0,8.56,5.08,4
DE,76,277,5.03,34.5,25.0,110.0,7.11,4.23,5
WR,69,181,4.44,37.5,,118.0,6.88,4.12,6
WR,71,197,4.42,36.5,,117.0,6.68,4.16,2
CB,71,178,4.39,40.0,,120.0,,4.0,1
CB,68,185,4.32,37.5,17.0,117.0,,,2
OLB,77,228,4.44,37.0,11.0,118.0,7.17,4.34,5
DT,75,317,5.41,,,104.0,,,6
RB,67,207,4.39,36.0,18.0,116.0,7.08,4.38,2
OG,75,311,5.09,32.0,24.0,111.0,,4.97,1
CB,71,193,4.31,37.0,15.0,123.0,6.92,4.23,1
OT,78,319,5.16,35.0,,110.0,7.31,4.53,2
ILB,71,224,4.68,36.0,15.0,113.0,7.01,4.12,3
OLB,76,237,4.78,30.5,12.0,109.0,7.03,4.36,8
OLB,75,240,4.63,37.0,21.0,111.0,6.95,4.17,8
TE,77,245,4.83,32.5,21.0,109.0,6.99,4.09,5
FB,71,233,4.76,29.5,,106.0,7.18,4.31,5
DE,78,266,4.7,32.0,17.0,120.0,7.27,4.13,1
TE,78,255,4.63,36.0,27.0,112.0,7.39,4.21,2
DE,74,265,4.72,37.0,45.0,114.0,7.21,4.45,8
OG,76,301,5.1,30.0,24.0,109.0,7.59,4.6,5
DE,74,257,4.62,34.0,34.0,113.0,7.25,4.3,7
S,73,220,4.64,37.5,18.0,124.0,,4.27,5
OLB,77,241,4.43,39.5,23.0,124.0,6.9,4.18,1
CB,72,197,4.48,40.5,16.0,120.0,,,6
WR,74,201,4.59,35.5,,114.0,6.8,4.09,8
QB,77,223,4.9,,,,,,1
DT,73,309,4.97,33.5,24.0,111.0,7.4,4.4,6
TE,78,261,4.8,37.0,23.0,118.0,7.24,4.82,1
P,77,209,4.74,,,,,,8
S,71,200,4.54,36.0,15.0,120.0,7.16,4.2,4
QB,74,216,4.71,35.0,,111.0,6.93,4.07,8
RB,71,214,4.48,35.0,18.0,111.0,6.99,4.36,6
OG,76,334,5.35,28.0,26.0,97.0,8.04,4.76,2
DT,72,311,5.37,,,,,,5
P,72,212,4.87,,,,,,8
CB,72,200,4.59,34.0,10.0,111.0,7.05,4.1,8
C,76,300,5.05,27.5,24.0,104.0,7.47,4.36,1
CB,71,202,4.48,39.0,17.0,123.0,7.23,4.07,2
RB,72,217,4.48,,,,,,1
WR,76,229,4.52,37.0,,120.0,,,4
CB,71,189,4.42,37.0,12.0,129.0,6.65,4.16,2
CB,70,202,4.5,40.0,17.0,127.0,6.72,3.95,6
QB,74,220,4.71,36.0,,111.0,7.13,4.17,5
OT,77,303,5.23,31.0,25.0,101.0,,,7
TE,75,259,4.85,,32.0,,,,7
RB,71,210,4.51,33.0,20.0,117.0,6.93,4.22,8
OG,74,306,5.0,24.5,28.0,93.0,7.87,4.76,7
CB,73,198,4.48,41.5,14.0,129.0,,,5
CB,71,197,4.53,40.5,,122.0,7.35,4.38,6
DT,73,302,5.15,30.5,25.0,110.0,7.79,4.48,1
DE,74,262,4.7,39.0,19.0,114.0,7.87,4.5,7
ILB,73,242,4.73,38.0,,118.0,7.09,4.07,7
OLB,74,237,4.62,41.5,18.0,119.0,,,2
QB,74,198,4.4,32.0,,121.0,6.96,4.25,6
OT,80,336,5.07,31.0,,98.0,8.19,5.0,2
CB,70,196,4.42,41.5,18.0,129.0,,,7
OT,78,312,5.07,29.5,28.0,110.0,7.72,4.62,3
OG,77,324,5.4,24.0,29.0,99.0,7.94,4.73,8
S,71,210,4.85,33.0,11.0,112.0,,,8
QB,73,210,4.67,32.5,,112.0,6.83,4.12,8
FB,73,241,4.64,35.5,23.0,111.0,6.81,4.05,4
DE,75,259,4.76,33.5,27.0,116.0,6.99,4.25,6
CB,71,190,4.52,38.5,10.0,131.0,6.87,4.1,5
WR,76,235,4.48,31.5,,111.0,,,8
C,75,312,5.12,29.5,35.0,104.0,7.4,4.43,7
RB,70,210,4.64,32.0,18.0,116.0,7.1,4.32,8
WR,68,185,4.38,,,,,,2
LS,74,247,5.03,,21.0,,,,8
WR,76,213,4.55,33.5,,112.0,6.91,4.08,8
OLB,72,232,4.51,39.0,41.0,124.0,6.97,4.11,5
DE,75,250,4.8,28.5,22.0,108.0,,,8
CB,69,185,4.64,38.5,17.0,119.0,,,8
QB,76,226,4.57,32.5,,114.0,6.94,4.26,8
DT,76,338,5.13,31.5,37.0,110.0,7.95,4.65,1
OLB,73,252,4.88,,25.0,116.0,7.37,4.43,5
DE,75,260,4.91,34.5,23.0,116.0,6.96,4.18,5
RB,72,210,4.4,36.5,15.0,122.0,6.81,4.25,3
OT,79,344,5.39,25.0,21.0,92.0,,,5
WR,73,205,4.45,38.0,,116.0,7.17,4.21,7
OT,77,309,5.44,28.5,21.0,102.0,8.45,5.11,5
DE,75,276,5.08,,,,,,6
P,76,214,5.18,,,,,,8
QB,74,222,5.09,23.0,,97.0,,4.42,8
CB,73,215,4.55,34.5,16.0,118.0,,,8
WR,74,198,4.44,35.5,,119.0,7.31,4.16,6
DT,74,304,5.27,32.0,33.0,105.0,7.87,4.54,6
S,72,239,4.63,38.0,,127.0,6.68,4.14,7
ILB,75,256,4.98,35.0,30.0,116.0,7.35,4.33,8
P,72,190,4.98,,,,,,8
DT,75,307,5.27,28.5,25.0,103.0,7.69,4.49,4
OT,76,317,5.05,,21.0,,,,8
OT,79,325,5.39,28.5,28.0,102.0,,,7
S,71,206,4.66,37.5,15.0,119.0,6.81,4.09,5
C,73,307,5.24,27.0,27.0,96.0,7.85,4.69,6
CB,72,193,4.6,,,,,,8
QB,77,232,5.1,29.0,,110.0,7.36,4.49,8
CB,71,182,4.44,36.0,14.0,128.0,,4.23,3
P,75,253,5.2,,,,,,7
TE,75,266,4.84,32.5,23.0,115.0,7.31,4.3,5
S,74,224,4.57,36.5,,131.0,,,2
TE,80,258,4.62,37.5,22.0,118.0,7.47,4.67,3
QB,77,233,4.67,33.5,,116.0,6.76,4.1,8
C,74,300,5.55,25.0,20.0,90.0,8.17,4.97,8
OG,77,334,5.57,,21.0,,7.92,4.82,8
WR,70,188,4.34,37.5,,117.0,7.06,4.26,3
DE,76,271,4.89,,,,7.6,4.34,8
RB,71,232,4.62,,,,,,8
ILB,74,257,4.93,34.0,,111.0,7.49,4.42,8
ILB,72,231,4.76,33.0,18.0,108.0,7.29,4.3,8
WR,73,227,4.57,,,,,,4
WR,72,188,4.58,33.5,,110.0,7.37,4.19,4
OT,82,328,5.28,,19.0,,,,8
WR,76,209,4.61,37.0,,120.0,6.95,4.29,8
C,75,301,4.99,,23.0,,,,8
RB,66,201,4.58,,15.0,,,,8
RB,70,226,4.56,35.0,20.0,112.0,7.0,4.35,8
DE,75,267,4.88,29.5,,110.0,,,3
OLB,73,236,4.65,39.0,23.0,129.0,7.19,4.17,2
S,74,216,4.63,40.0,14.0,123.0,6.79,4.15,4
TE,77,254,4.54,33.5,17.0,115.0,6.81,4.01,2
ILB,72,250,4.88,32.0,21.0,111.0,7.41,4.38,3
K,73,224,5.0,,,,,,8
OT,78,315,5.32,24.5,,101.0,7.73,4.85,5
OG,76,314,5.38,26.5,19.0,100.0,7.63,4.53,7
QB,73,214,4.56,37.5,,121.0,7.07,4.17,7
OLB,70,235,4.89,28.0,26.0,103.0,7.69,4.32,7
S,73,209,4.45,40.5,11.0,122.0,7.09,4.17,4
OLB,71,231,4.5,41.0,25.0,125.0,7.31,4.22,1
OG,75,307,5.25,,27.0,,,,4
S,75,216,4.78,32.5,,112.0,,,8
QB,77,216,4.57,35.0,,122.0,7.41,4.47,8
DT,75,316,4.97,30.5,30.0,109.0,7.93,4.92,8
S,72,194,4.71,41.0,18.0,125.0,6.75,4.35,3
WR,74,213,4.46,39.5,,128.0,7.0,4.33,4
S,73,209,4.63,40.0,21.0,127.0,6.89,4.1,3
WR,75,214,4.58,33.0,,114.0,7.17,4.46,8
OG,75,324,5.15,28.5,20.0,101.0,8.13,4.98,4
OG,77,352,5.25,,30.0,,,,3
OG,75,313,5.4,28.5,25.0,102.0,7.82,4.55,3
DT,74,313,5.12,29.0,,106.0,8.06,4.6,6
P,70,197,4.68,,,,,,8
OG,76,310,5.6,,24.0,,,,8
OG,77,300,5.36,24.5,24.0,100.0,7.58,4.59,6
WR,76,217,4.57,35.0,,122.0,6.81,4.14,3
OT,80,330,5.38,21.0,19.0,94.0,8.01,4.83,7
LS,78,259,5.06,,,,,,8
TE,78,268,4.77,32.5,20.0,114.0,7.09,4.52,5
FB,72,254,4.85,29.0,35.0,101.0,7.72,4.7,8
DE,74,252,4.83,33.0,27.0,109.0,7.31,4.48,2
LS,75,253,4.88,,18.0,,,,8
OG,76,307,5.44,24.5,24.0,97.0,8.17,4.84,8
TE,75,252,4.67,37.5,19.0,113.0,7.05,4.34,3
OT,77,337,5.11,,32.0,,,,4
P,74,212,4.73,,,,,,8
OT,78,303,5.12,26.5,23.0,100.0,7.45,4.7,5
OLB,73,233,4.76,37.0,22.0,125.0,7.0,4.14,8
OT,80,316,5.25,27.5,20.0,96.0,7.82,4.68,2
ILB,71,241,4.84,33.5,27.0,113.0,7.19,4.15,4
OLB,76,235,4.65,32.0,17.0,117.0,7.24,4.22,8
QB,72,200,4.47,36.0,,117.0,6.94,4.08,8
FB,72,245,4.82,30.5,21.0,104.0,7.74,4.63,6
CB,72,205,4.62,40.0,,125.0,,4.16,8
WR,73,240,4.49,36.5,,118.0,,,6
TE,76,261,4.78,29.0,21.0,105.0,7.29,4.21,8
S,73,218,4.7,37.0,15.0,115.0,7.05,4.25,8
RB,68,201,4.42,32.5,17.0,105.0,6.94,4.37,4
S,77,211,4.42,41.0,14.0,133.0,,,5
WR,74,202,4.4,36.0,15.0,118.0,7.13,4.24,7
DT,75,339,5.27,25.0,36.0,96.0,8.28,4.8,4
P,74,217,4.82,,,,,,8
CB,71,183,4.41,36.5,,121.0,,,7
WR,74,211,4.4,37.0,,126.0,6.81,4.08,6
OT,77,339,5.73,19.5,,74.0,8.09,4.86,8
OT,77,304,4.96,29.0,26.0,102.0,7.38,4.59,4
RB,72,238,4.49,,,,,,2
RB,70,209,4.69,30.5,,108.0,7.21,4.27,8
QB,77,223,4.75,33.0,,112.0,7.0,4.11,3
OT,77,309,5.35,25.0,16.0,101.0,7.53,4.79,7
S,70,204,4.4,40.0,18.0,132.0,,,1
OT,79,334,5.16,30.5,28.0,112.0,8.23,4.83,2
ILB,75,233,4.66,39.0,19.0,122.0,7.21,4.17,3
TE,74,269,4.72,34.0,25.0,111.0,7.49,4.54,6
WR,69,179,4.48,34.5,,115.0,6.87,4.07,3
RB,69,214,4.45,35.5,25.0,121.0,,,1
WR,74,197,4.52,38.0,,127.0,6.84,4.08,4
OLB,72,236,4.59,37.0,,120.0,7.03,4.29,4
CB,74,213,4.44,,,,,,2
ILB,75,245,4.54,,25.0,,,,4
DE,79,295,4.7,40.5,35.0,120.0,7.19,4.36,1
WR,74,214,4.47,36.5,,120.0,6.7,3.99,3
DE,76,248,4.61,38.5,24.0,129.0,6.97,4.48,1
OT,79,310,4.94,29.0,,108.0,7.47,4.44,3
DT,77,300,5.08,32.0,31.0,110.0,7.84,4.51,7
DT,74,302,5.08,,,,,,3
CB,69,189,4.72,,14.0,,,,8
DE,77,262,4.63,33.0,27.0,116.0,7.75,4.51,7
CB,72,189,4.44,,,,,,3
QB,77,229,4.48,,,,,,1
CB,73,194,4.57,,,,,,4
ILB,70,231,5.0,38.5,26.0,115.0,7.12,4.33,8
DE,76,267,4.8,,25.0,,,,2
DE,77,258,4.64,35.0,,119.0,7.17,4.36,1
K,75,218,4.75,,,,,,8
DE,77,280,4.85,,,,,,2
S,72,210,4.51,41.0,15.0,124.0,7.24,4.21,2
OLB,73,228,4.79,35.0,25.0,117.0,7.06,4.3,6
DT,75,304,5.17,25.5,,103.0,7.81,4.83,3
TE,78,255,4.71,36.0,19.0,123.0,7.31,4.52,7
OG,76,305,5.07,30.0,27.0,106.0,7.8,4.65,3
WR,72,198,4.39,37.0,,127.0,,,5
FB,74,247,4.7,37.0,19.0,115.0,7.37,4.35,8
FB,71,243,4.73,33.0,23.0,114.0,7.27,4.43,6
DE,77,288,4.75,,,,,,1
DE,75,250,4.73,35.0,25.0,115.0,7.5,4.36,8
CB,74,199,4.43,34.5,12.0,124.0,7.02,4.46,8
DE,76,271,4.69,33.0,22.0,111.0,,,4
CB,72,182,4.43,,10.0,,,,8
WR,75,208,4.53,36.0,,129.0,6.69,4.19,7
WR,71,203,4.67,30.0,15.0,112.0,6.9,4.19,8
WR,73,196,4.7,,,,6.94,4.21,8
OT,76,300,4.84,32.0,28.0,105.0,7.4,4.63,4
OLB,73,240,4.43,35.0,31.0,122.0,7.29,4.32,4
DE,75,266,4.77,30.0,25.0,109.0,7.09,4.75,2
OLB,72,237,4.72,,19.0,111.0,,,1
QB,74,215,4.75,29.5,,111.0,6.81,4.17,2
OG,74,313,5.36,25.5,24.0,93.0,8.24,4.81,4
OG,76,316,5.47,26.5,34.0,90.0,8.15,5.04,8
CB,73,196,4.46,38.5,17.0,125.0,6.67,4.3,4
OG,77,330,5.38,,19.0,,,,8
DE,76,261,5.02,32.0,21.0,107.0,7.47,4.76,8
ILB,74,239,4.78,,33.0,,,,6
OLB,74,240,4.42,41.5,24.0,124.0,6.86,4.34,3
ILB,71,236,4.69,,22.0,,,,6
OG,75,320,5.1,28.5,40.0,101.0,7.75,4.72,2
P,70,179,5.08,,,,,,8
RB,70,191,4.46,35.5,26.0,121.0,,,3
TE,78,252,4.78,35.0,,116.0,6.96,4.41,5
WR,74,221,4.51,33.0,,125.0,6.81,4.35,1
CB,71,189,4.67,,,,,,8
OLB,76,254,4.72,35.5,28.0,112.0,7.29,4.17,3
RB,69,198,4.55,34.0,,112.0,6.7,4.09,7
DT,78,324,5.07,27.5,33.0,107.0,,,2
WR,72,193,4.46,33.0,,124.0,6.9,4.29,5
DT,75,297,5.2,27.0,22.0,108.0,7.67,4.81,8
DT,76,290,5.38,26.5,,96.0,,,4
OT,77,323,5.4,25.5,31.0,97.0,7.87,4.89,1
CB,71,190,4.45,33.5,17.0,111.0,7.0,4.37,5
DE,78,268,5.0,29.0,21.0,106.0,7.38,4.8,8
RB,69,202,4.56,35.5,14.0,120.0,7.71,4.43,8
DE,74,259,4.73,,15.0,,,,8
OLB,75,240,4.82,32.5,19.0,106.0,7.01,4.31,6
RB,73,243,4.62,,,,,,4
OT,79,306,5.2,,22.0,,,,7
P,76,203,5.03,,,,,,8
DE,78,296,4.9,33.5,33.0,110.0,7.06,4.18,1
S,74,225,4.6,,24.0,,,,8
TE,79,270,4.78,30.0,16.0,111.0,7.26,4.32,4
K,72,181,,,,,,,8
DT,74,309,5.02,29.0,29.0,104.0,7.78,4.82,8
RB,70,218,4.63,36.5,23.0,121.0,,,8
WR,72,188,4.36,32.5,,123.0,7.0,4.15,5
TE,75,257,4.94,30.0,34.0,111.0,7.07,4.43,8
CB,73,190,4.53,35.0,17.0,122.0,6.78,4.31,5
DT,74,313,5.1,26.0,34.0,,,,4
CB,69,199,4.57,35.5,18.0,120.0,7.18,4.51,8
RB,70,207,4.49,,27.0,120.0,,,8
WR,71,184,4.57,34.5,,123.0,6.99,4.3,8
RB,71,206,4.62,34.0,,118.0,7.09,,8
K,73,212,5.18,,,,,,6
DE,76,272,4.69,30.5,32.0,111.0,7.28,4.32,2
OLB,73,236,4.77,29.5,18.0,113.0,,,8
S,74,216,4.55,35.0,17.0,122.0,6.69,4.26,8
S,71,216,4.54,,25.0,,,,8
